language_id,last_update,name,_merge
1,2006-02-15 05:02:19,English,left_only
1,2006-02-15 05:02:19,English             ,right_only
2,2006-02-15 05:02:19,Italian,left_only
2,2006-02-15 05:02:19,Italian             ,right_only
3,2006-02-15 05:02:19,Japanese,left_only
3,2006-02-15 05:02:19,Japanese            ,right_only
4,2006-02-15 05:02:19,Mandarin,left_only
4,2006-02-15 05:02:19,Mandarin            ,right_only
5,2006-02-15 05:02:19,French,left_only
5,2006-02-15 05:02:19,French              ,right_only
6,2006-02-15 05:02:19,German,left_only
6,2006-02-15 05:02:19,German              ,right_only
